N,w,Número de Iterações,Resíduo
10,0.1,1349,9.968673064619793e-05
10,0.2,709,9.957413583805419e-05
10,0.3,474,9.948967072581638e-05
10,0.4,350,9.792090477134252e-05
10,0.5,272,9.693638936880689e-05
10,0.6,218,9.61159976018422e-05
10,0.7,178,9.603323265316988e-05
10,0.8,147,9.651610077376915e-05
10,0.9,122,9.849071982692692e-05
10,1.0,102,9.497696179039394e-05
10,1.1,85,9.379173413393005e-05
10,1.2,70,9.601976834971993e-05
10,1.3,57,9.204220914327266e-05
10,1.4,45,8.341857701132938e-05
10,1.5,32,8.563693602248179e-05
10,1.6,30,6.357789161492988e-05
10,1.7,41,8.099518425064289e-05
10,1.8,62,7.168936601087417e-05
10,1.9,124,9.537737686926562e-05
20,0.1,4301,9.990611047250297e-05
20,0.2,2313,9.989716367719836e-05
20,0.3,1565,9.968981453667425e-05
20,0.4,1163,9.944097637237803e-05
20,0.5,908,9.972550932069169e-05
20,0.6,731,9.962259340312585e-05
20,0.7,600,9.929731599278568e-05
20,0.8,498,9.966271765726731e-05
20,0.9,417,9.850368935993004e-05
20,1.0,350,9.773353963637987e-05
20,1.1,293,9.89854281971958e-05
20,1.2,245,9.710438266630206e-05
20,1.3,202,9.936576084434989e-05
20,1.4,165,9.521521858957271e-05
20,1.5,130,9.964733778922152e-05
20,1.6,99,8.96083449077878e-05
20,1.7,65,9.882696032725846e-05
20,1.8,70,9.83844202008255e-05
20,1.9,126,9.877363370947023e-05
40,0.1,10000,0.0002568283743062949
40,0.2,7210,9.998143844924812e-05
40,0.3,4969,9.992125730917678e-05
40,0.4,3736,9.99716813652185e-05
40,0.5,2945,9.983448129169403e-05
40,0.6,2388,9.975604759659973e-05
40,0.7,1971,9.98290173264138e-05
40,0.8,1646,9.964963965281015e-05
40,0.9,1383,9.979294590323207e-05
40,1.0,1166,9.946859213272319e-05
40,1.1,982,9.952292953308017e-05
40,1.2,824,9.916128687770254e-05
40,1.3,685,9.95551316886889e-05
40,1.4,562,9.953726589273515e-05
40,1.5,451,9.995187080669155e-05
40,1.6,350,9.970980869056234e-05
40,1.7,256,9.743137481343922e-05
40,1.8,163,9.385118368410161e-05
40,1.9,155,9.500406475448919e-05
80,0.1,10000,0.0010145859026788884
80,0.2,10000,0.0006527586756011061
80,0.3,10000,0.00036543367322039444
80,0.4,10000,0.0001666583662753851
80,0.5,9059,9.99675722592741e-05
80,0.6,7431,9.993505792316171e-05
80,0.7,6193,9.996081068663898e-05
80,0.8,5214,9.990410882387835e-05
80,0.9,4414,9.993244673722756e-05
80,1.0,3745,9.991853704782727e-05
80,1.1,3174,9.991138503195884e-05
80,1.2,2678,9.993758115278695e-05
80,1.3,2241,9.990619136246437e-05
80,1.4,1851,9.967738962401995e-05
80,1.5,1497,9.975890272606591e-05
80,1.6,1173,9.949321144020473e-05
80,1.7,870,9.985864687678259e-05
80,1.8,582,9.898225081883538e-05
80,1.9,286,9.806354808539197e-05
